id,name,synonyms,country,track,size
2230,Mingdao,,Taiwan,High School,20
2275,NCKU Tainan,,Taiwan,Environment,22
2262,NCTU Formosa,,Taiwan,,24
2354,NTHU Taiwan,,Taiwan,Environment,20
2350,NYMU Taipei,,Taiwan,,17
2229,TAS Taipei,,Taiwan,High School,28
2383,TCFSH Taiwan,,Taiwan,High School,13
2234,Bilkent UNAMBG,Bilkent,Turkey,Diagnostics,12
2495,NYU Abu Dhabi,,United Arab Emirates,,18
2293,Bristol,,United Kingdom,,14
2404,Cardiff Wales,Cardiff,United Kingdom,,12
2206,CLSB UK,"City of London,City of London School",United Kingdom,High School,20
2330,Edinburgh OG,Edinburgh overgrad,United Kingdom,,13
2406,Edinburgh UG,"Edinburgh,Edinburgh undergrad",United Kingdom,,13
2324,Exeter,,United Kingdom,,19
2442,Glasgow,,United Kingdom,,15
2245,Judd UK,"Judd,Judd School",United Kingdom,High School,17
2340,Kent,,United Kingdom,,13
2213,Manchester,,United Kingdom,Environment,13
2205,Newcastle,,United Kingdom,Foundational Advance,19
2450,Oxford,,United Kingdom,Diagnostics,14
2508,Sheffield,,United Kingdom,,11
2284,UNOTT,Nottingham,United Kingdom,,15
2463,Warwick,,United Kingdom,,12
2420,Westminster UK,Westminster,United Kingdom,Therapeutics,17
2489,York,,United Kingdom,,18
2459,AHUT China,AHUT,United States,Information Processing,23
2357,Arizona State,Arizona,United States,Information Processing,10
2253,Austin UTexas,Austin,United States,,15
2458,Austin UTexas LASA,Austin LASA,United States,High School,15
2436,Baltimore Bio Crew,Baltimore,United States,High School,13
2411,BostonU,Boston,United States,,12
2409,BostonU HW,Boston hardware,United States,Hardware,9
2248,Cadets2Vets,"Cadets,Vets",United States,Environment,19
2465,CAPS Kansas,Kansas,United States,High School,3
2491,CCA San Diego,CCA,United States,High School,24
2412,ColumbiaNYC,Columbia,United States,,10
2296,Cornell,,United States,,32
2204,CSU Fort Collins,CSU,United States,,6
2249,CU Boulder,Boulder,United States,,13
2435,Dartmouth,,United States,,9
2444,Delaware,,United States,Therapeutics,13
2410,Delgado Ivy Marin,Delgado,United States,,9
2464,Duke,,United States,,7
2290,East Chapel Hill,,United States,High School,13
2487,Emory,,United States,,15
2511,EpiphanyNYC,Epiphany,United States,High School,3
2523,Florida Atlantic,,United States,Software,14
2367,FSU,FSU,United States,Therapeutics,15
2221,Gaston Day School,Gaston,United States,,9
2524,Georgia State,,United States,,15
2251,Harvard,,United States,,8
2363,iTesla SoundBio,Tesla,United States,Environment,22
2268,Kingsborough NY,Kingsborough,United States,,12
2353,Lambert GA,Lambert,United States,High School,13
2478,LUBBOCK TTU,Lubbock,United States,,18
2238,ManhattanCol Bronx,Manhattan,United States,,16
2301,Michigan,,United States,,17
2274,Michigan Software,,United States,Software,22
2375,Minnesota,,United States,,14
2362,Missouri Rolla,,United States,Environment,5
2429,MIT,"M. I. T.,Massachusetts Institute of Technology",United States,,13
2405,MSU Michigan,MSU,United States,Environment,9
2431,NortheasternU Boston,Northeastern,United States,Foundational Advance,11
2396,Northwestern,,United States,,14
2456,Penn,,United States,,5
2476,Pittsburgh,,United States,,12
2432,Princeton,,United States,,19
2228,Purdue,,United States,,13
2390,RHIT,,United States,,13
2194,Rice,,United States,,18
2503,RPI Troy NY,,United States,Therapeutics,16
2485,Stanford Brown,Stanford,United States,Manufacturing,18
2196,Stony Brook,,United States,,33
2369,TP CC San Diego,,United States,High School,12
2416,Tufts,,United States,,8
2212,UC San Diego,,United States,New Application,9
2428,UChicago,Chicago,United States,,5
2332,UCL,University College London,United States,Foundational Advance,19
2386,UConn,Conn,United States,Energy,23
2223,UCSC,,United States,,18
2352,UFlorida,Florida,United States,Environment,12
2392,UGA Georgia,Georgia,United States,,13
2427,UIOWA,Iowa,United States,Manufacturing,15
2468,UIUC Illinois,Illinois,United States,Foundational Advance,11
2215,ULaVerne Collab,LaVerne,United States,Environment,10
2477,UMaryland,Maryland,United States,,22
2430,UMBC,,United States,Environment,9
2499,UNC Asheville,,United States,Environment,6
2461,UNebraska Lincoln,Nebraska,United States,Environment,14
2522,US AFRL CarrollHS,Carrol,United States,High School,20
2222,USMA West Point,,United States,Diagnostics,16
2199,USNA Annapolis,,United States,,14
2451,UT Knoxville,,United States,,16
2272,Virginia,,United States,Environment,10
2391,Washington,,United States,,39
2195,WashU StLouis,"Washington St Louis,St Louis",United States,,9
2333,William and Mary,,United States,,12
2452,WLC Milwaukee,,United States,,7
2413,WPI Worcester,,United States,,8
