"2386","2386","UConn","Conn"
"2223","2223","UCSC"
"2352","2352","UFlorida","Florida"
"2392","2392","UGA Georgia","Georgia"
"2427","2427","UIOWA","Iowa"
"2468","2468","UIUC Illinois","Illinois"
"2215","2215","ULaVerne Collab","LaVerne"
"2477","2477","UMaryland","Maryland"
"2430","2430","UMBC"
"2499","2499","UNC Asheville"
"2461","2461","UNebraska Lincoln","Nebraska"
"2522","2522","US AFRL CarrollHS","Carrol"
"2222","2222","USMA West Point"
"2199","2199","USNA Annapolis"
"2451","2451","UT Knoxville"
"2272","2272","Virginia"
"2391","2391","Washington"
"2195","2195","WashU StLouis","Washington St Louis","St Louis"
"2333","2333","William and Mary"
"2452","2452","WLC Milwaukee"
"2413","2413","WPI Worcester"
